이름	과목1	과목2	과목3	과목4	과목5
김지현	39	90	78	55	62
박준영	80	56	65	92	71
정지우	68	43	75	80	59
윤서연	57	78	83	49	68
박영서	91	60	47	72	85
김민준	45	72	56	88	61
이지훈	83	37	69	54	77
최은서	63	51	87	65	74
이민지	76	65	72	40	80
김수빈	58	82	39	71	93
한승우	87	46	68	57	84
손서윤	72	59	84	43	67
장민서	55	74	51	78	60
오서현	82	67	48	76	53
강시우	48	83	76	62	55
조하은	69	41	90	57	68
윤지우	35	70	81	45	79
이도현	94	53	62	78	47
김주원	77	48	71	85	64
정하준	60	89	55	67	49
임예은	43	66	72	57	88
최승우	85	52	65	78	71
박지후	71	45	82	56	69
한주원	54	76	61	85	48
김민서	79	58	73	42	90
송서은	62	87	50	73	56
이도현	89	49	77	63	58
장서영	46	63	84	72	51
최민준	74	40	67	89	54
오시우	57	71	85	46	68
류서연	82	54	69	60	79
김하은	38	68	79	57	84
박민준	97	55	60	78	41
이서윤	65	78	43	91	54
정지윤	41	82	75	56	69
임서윤	86	47	63	80	52
이하은	72	59	84	43	67
강하윤	55	74	51	78	60
조예은	82	67	48	76	53
박민서	73	68	45	82	56
윤예은	48	83	76	62	55
한예준	69	41	90	57	68
장시우	35	70	81	45	79
최도현	84	53	62	78	47
손민서	77	48	71	85	64
김하준	60	89	55	67	49
오예은	43	66	72	57	88
류승우	85	52	65	78	71
박지후	71	45	82	56	69
임주원	54	76	61	85	48
최민서	79	58	73	42	90
이서은	62	87	50	73	56
정도현	89	49	77	63	58
류서영	46	63	84	72	51
한민준	74	40	67	89	54
송시우	57	71	85	46	68
류윤서	82	54	69	60	79
한하은	38	68	79	57	84
최민준	97	55	60	78	41
류서윤	65	78	43	91	54
류지윤	41	82	75	56	69
류서윤	86	47	63	80	52
한하은	72	59	84	43	67
류하윤	55	74	51	78	60
조예은	82	67	48	76	53
박민서	73	68	45	82	56
류예은	48	83	76	62	55
한예준	69	41	90	57	68
장시우	35	70	81	45	79
최도현	84	53	62	78	47
손민서	77	48	71	85	64
김하준	60	89	55	67	49
오예은	43	66	72	57	88
류승우	85	52	65	78	71
박지후	71	45	82	56	69
임주원	54	76	61	85	48
최민서	79	58	73	42	90
이서은	62	87	50	73	56
정도현	89	49	77	63	58
류서영	46	63	84	72	51
한민준	74	40	67	89	54
송시우	57	71	85	46	68
류윤서	82	54	69	60	79
한하은	38	68	79	57	84
최민준	97	55	60	78	41
류서윤	65	78	43	91	54
류지윤	41	82	75	56	69
류서윤	86	47	63	80	52
한하은	72	59	84	43	67
류하윤	55	74	51	78	60
조예은	82	67	48	76	53
박민서	73	68	45	82	56
류예은	48	83	76	62	55
한예준	69	41	90	57	68
장시우	35	70	81	45	79
최도현	84	53	62	78	47
손민서	77	48	71	85	64
김하준	60	89	55	67	49
오예은	43	66	72	57	88
류승우	85	52	65	78	71
박지후	71	45	82	56	69
임주원	54	76	61	85	48
최민서	79	58	73	42	90
이서은	62	87	50	73	56
정도현	89	49	77	63	58
류서영	46	63	84	72	51
한민준	74	40	67	89	54
송시우	57	71	85	46	68
류윤서	82	54	69	60	79
한하은	38	68	79	57	84
이재현	72	85	61	74	73
김지현	71	70	78	75	72
박준영	80	75	65	92	71
정지우	68	73	75	80	79
윤서연	77	78	83	79	78
박영서	91	80	77	72	85
김민준	75	72	78	88	71
이지훈	83	70	69	74	77
최은서	73	71	87	75	74
이민지	76	75	72	78	80
김수빈	78	82	70	71	93
한승우	87	76	68	77	84
손서윤	72	79	84	73	77
장민서	75	74	81	78	80
오서현	82	77	78	76	75
강시우	78	83	76	72	75
조하은	76	71	90	77	78
윤지우	70	70	81	75	79
이도현	74	73	72	78	77
김주원	77	72	71	85	74
박민수	72	85	61	39	73
김지연	71	70	78	35	72
정성호	68	73	75	38	79
이승우	75	72	78	35	71
신현지	74	73	72	39	77
김예진	91	85	88	84	37
박준호	89	92	86	37	91
이승현	90	89	83	38	85
정지현	88	90	91	86	35
이지원	86	87	90	89	35
김지연	91	85	88	84	87
박준호	89	92	86	87	91
이승현	90	89	83	88	85
정지현	88	90	91	86	85
이지원	86	87	90	89	85
김민성	92	88	89	87	90
박지민	88	89	91	90	86
이예준	90	85	92	89	88
최서연	87	91	88	90	89
장승우	92	89	90	91	87
손서현	88	90	87	92	89
임성준	89	87	92	91	88
강지윤	90	88	91	87	89
한준호	92	91	87	90	88
정서연	87	90	89	92	91
김민지	90	91	88	87	92
박예진	91	88	90	92	87
신지민	89	92	90	87	91
황성민	90	87	91	92	88
류예은	91	90	89	88	92
이지은	98	94	92	95	96
김민서	97	96	95	93	92
박준호	99	95	93	96	97
정지우	98	96	94	95	97
송지원	97	98	95	96	92
이현우	95	98	97	96	94
김서연	96	95	99	97	93
이서윤	99	97	98	95	96
박준서	97	98	99	96	95
정서연	96	99	97	98	95
최지원	99	97	95	98	96
박서준	98	99	96	97	95
이하준	97	96	99	98	97
김지윤	99	98	97	96	95
최서연	96	99	98	97	95
임민준	98	97	99	96	97
한예은	99	98	97	96	95
이서영	97	99	98	95	96
김하윤	96	97	99	98	97
박현우	99	98	97	96	95
김민지	98	96	95	93	35
박준호	99	95	93	96	37
정지우	98	96	94	95	37
송지원	97	98	95	96	39
이현우	95	98	97	96	38
김서연	70	65	69	68	62
이서윤	59	72	70	65	63
박준서	65	75	68	60	62
정서연	67	69	71	63	62
최지원	74	72	65	69	61
박서준	70	65	68	61	67
이하준	61	69	74	67	63
김지윤	65	67	71	69	61
최서연	68	69	70	71	62
임민준	70	68	71	65	66
한예은	73	67	68	66	61
이서영	66	70	69	61	64
김하윤	69	68	71	69	62
박현우	68	67	69	65	61
김민지	68	75	62	39	70
박준호	59	82	63	37	55
정지우	74	66	60	58	35
송지원	81	59	65	62	35
이현우	65	68	67	59	38
